"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","29% to 51%"
"2","Program reach [70% - 95%]","PREVALENCE","38% to 78%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","31% to 65%"
"4","Program reach [70% - 95%]","MORTALITY","22% to 75%"
"5","Elimination half-life [1 - 20 days]","CLINICAL INCIDENCE","28% to 57%"
"6","Elimination half-life [1 - 20 days]","PREVALENCE","9% to 49%"
"7","Elimination half-life [1 - 20 days]","SEVERE DISEASE","19% to 50%"
"8","Elimination half-life [1 - 20 days]","MORTALITY","17% to 51%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","9% to 18%"
"10","Round coverage [70% - 95%]","PREVALENCE","1% to 7%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","10% to 25%"
"12","Round coverage [70% - 95%]","MORTALITY","5% to 36%"
"13","Emax [2 - 30 units]","CLINICAL INCIDENCE","1% to 14%"
"14","Emax [2 - 30 units]","PREVALENCE","1% to 32%"
"15","Emax [2 - 30 units]","SEVERE DISEASE","0% to 6%"
"16","Emax [2 - 30 units]","MORTALITY","0% to 10%"
"17","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 1%"
"18","Slope [6 - 6]","PREVALENCE","0% to 1%"
"19","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"20","Slope [6 - 6]","MORTALITY","0% to 1%"
