"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","46% to 80%"
"2","Program reach [70% - 95%]","PREVALENCE","32% to 91%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","52% to 85%"
"4","Program reach [70% - 95%]","MORTALITY","50% to 87%"
"5","Elimination half-life [5 - 40 days]","CLINICAL INCIDENCE","5% to 32%"
"6","Elimination half-life [5 - 40 days]","PREVALENCE","4% to 21%"
"7","Elimination half-life [5 - 40 days]","SEVERE DISEASE","1% to 29%"
"8","Elimination half-life [5 - 40 days]","MORTALITY","1% to 32%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","6% to 16%"
"10","Round coverage [70% - 95%]","PREVALENCE","0% to 3%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","7% to 19%"
"12","Round coverage [70% - 95%]","MORTALITY","5% to 23%"
"13","Emax [2 - 30 units]","CLINICAL INCIDENCE","0% to 20%"
"14","Emax [2 - 30 units]","PREVALENCE","1% to 62%"
"15","Emax [2 - 30 units]","SEVERE DISEASE","0% to 11%"
"16","Emax [2 - 30 units]","MORTALITY","0% to 11%"
"17","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 1%"
"18","Slope [6 - 6]","PREVALENCE","0% to 1%"
"19","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"20","Slope [6 - 6]","MORTALITY","0% to 1%"
