"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","24% to 51%"
"2","Program reach [70% - 95%]","PREVALENCE","14% to 79%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","46% to 71%"
"4","Program reach [70% - 95%]","MORTALITY","25% to 70%"
"5","Duration of protection [10 - 60 days]","CLINICAL INCIDENCE","25% to 55%"
"6","Duration of protection [10 - 60 days]","PREVALENCE","15% to 75%"
"7","Duration of protection [10 - 60 days]","SEVERE DISEASE","2% to 34%"
"8","Duration of protection [10 - 60 days]","MORTALITY","4% to 45%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","12% to 23%"
"10","Round coverage [70% - 95%]","PREVALENCE","4% to 8%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","14% to 30%"
"12","Round coverage [70% - 95%]","MORTALITY","5% to 41%"
"13","Initial efficacy [80% - 100%]","CLINICAL INCIDENCE","3% to 9%"
"14","Initial efficacy [80% - 100%]","PREVALENCE","0% to 5%"
"15","Initial efficacy [80% - 100%]","SEVERE DISEASE","0% to 4%"
"16","Initial efficacy [80% - 100%]","MORTALITY","0% to 11%"
