"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","15% to 32%"
"2","Program reach [70% - 95%]","PREVALENCE","18% to 64%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","17% to 52%"
"4","Program reach [70% - 95%]","MORTALITY","17% to 61%"
"5","Elimination half-life [1 - 20 days]","CLINICAL INCIDENCE","53% to 78%"
"6","Elimination half-life [1 - 20 days]","PREVALENCE","17% to 73%"
"7","Elimination half-life [1 - 20 days]","SEVERE DISEASE","38% to 74%"
"8","Elimination half-life [1 - 20 days]","MORTALITY","29% to 70%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","5% to 12%"
"10","Round coverage [70% - 95%]","PREVALENCE","1% to 4%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","6% to 18%"
"12","Round coverage [70% - 95%]","MORTALITY","6% to 19%"
"13","Emax [2 - 30 units]","CLINICAL INCIDENCE","0% to 17%"
"14","Emax [2 - 30 units]","PREVALENCE","2% to 34%"
"15","Emax [2 - 30 units]","SEVERE DISEASE","0% to 7%"
"16","Emax [2 - 30 units]","MORTALITY","0% to 13%"
"17","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 2%"
"18","Slope [6 - 6]","PREVALENCE","0% to 1%"
"19","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"20","Slope [6 - 6]","MORTALITY","0% to 1%"
