"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","29% to 52%"
"2","Program reach [70% - 95%]","PREVALENCE","39% to 78%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","21% to 64%"
"4","Program reach [70% - 95%]","MORTALITY","25% to 75%"
"5","Elimination half-life [1 - 20 days]","CLINICAL INCIDENCE","29% to 56%"
"6","Elimination half-life [1 - 20 days]","PREVALENCE","10% to 48%"
"7","Elimination half-life [1 - 20 days]","SEVERE DISEASE","19% to 61%"
"8","Elimination half-life [1 - 20 days]","MORTALITY","17% to 57%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","9% to 18%"
"10","Round coverage [70% - 95%]","PREVALENCE","1% to 7%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","9% to 24%"
"12","Round coverage [70% - 95%]","MORTALITY","6% to 38%"
"13","Emax [2 - 30 units]","CLINICAL INCIDENCE","0% to 14%"
"14","Emax [2 - 30 units]","PREVALENCE","1% to 33%"
"15","Emax [2 - 30 units]","SEVERE DISEASE","0% to 7%"
"16","Emax [2 - 30 units]","MORTALITY","0% to 13%"
"17","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 1%"
"18","Slope [6 - 6]","PREVALENCE","0% to 1%"
"19","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"20","Slope [6 - 6]","MORTALITY","0% to 1%"
