"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Program reach [70% - 95%]","CLINICAL INCIDENCE","50% to 79%"
"2","Program reach [70% - 95%]","PREVALENCE","37% to 93%"
"3","Program reach [70% - 95%]","SEVERE DISEASE","60% to 85%"
"4","Program reach [70% - 95%]","MORTALITY","50% to 86%"
"5","Duration of protection half-life [10 - 60 days]","CLINICAL INCIDENCE","5% to 17%"
"6","Duration of protection half-life [10 - 60 days]","PREVALENCE","4% to 50%"
"7","Duration of protection half-life [10 - 60 days]","SEVERE DISEASE","1% to 13%"
"8","Duration of protection half-life [10 - 60 days]","MORTALITY","0% to 32%"
"9","Round coverage [70% - 95%]","CLINICAL INCIDENCE","8% to 37%"
"10","Round coverage [70% - 95%]","PREVALENCE","0% to 15%"
"11","Round coverage [70% - 95%]","SEVERE DISEASE","6% to 29%"
"12","Round coverage [70% - 95%]","MORTALITY","2% to 34%"
"13","Initial efficacy [80% - 100%]","CLINICAL INCIDENCE","0% to 2%"
"14","Initial efficacy [80% - 100%]","PREVALENCE","0% to 3%"
"15","Initial efficacy [80% - 100%]","SEVERE DISEASE","0% to 4%"
"16","Initial efficacy [80% - 100%]","MORTALITY","0% to 3%"
