Scenario_Name	EIR	Coverage	fundecay	kdecay	Decay	Halflife	Efficacy	SEED
iTPP3_ChemoLiver_TreatLiverBlood_replication_1	154	0	weibull	5.395333	exp	45.7225875157217	0.975998320049606	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_2	154	1	weibull	5.395333	exp	45.7225875157217	0.975998320049606	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_3	154	0	weibull	5.395333	exp	44.5866756434987	0.858497666634456	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_4	154	1	weibull	5.395333	exp	44.5866756434987	0.858497666634456	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_5	154	0	weibull	5.395333	exp	17.5752222753771	0.811635182161265	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_6	154	1	weibull	5.395333	exp	17.5752222753771	0.811635182161265	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_7	154	0	weibull	5.395333	exp	29.7007514241153	0.977578477774649	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_8	154	1	weibull	5.395333	exp	29.7007514241153	0.977578477774649	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_9	154	0	weibull	5.395333	exp	35.3407826189047	0.935823870127793	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_10	154	1	weibull	5.395333	exp	35.3407826189047	0.935823870127793	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_11	154	0	weibull	5.395333	exp	49.0527781529242	0.955606413915103	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_12	154	1	weibull	5.395333	exp	49.0527781529242	0.955606413915103	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_13	154	0	weibull	5.395333	exp	38.2000507052289	0.947803617064795	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_14	154	1	weibull	5.395333	exp	38.2000507052289	0.947803617064795	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_15	154	0	weibull	5.395333	exp	45.0449739734514	0.895863144961806	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_16	154	1	weibull	5.395333	exp	45.0449739734514	0.895863144961806	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_17	154	0	weibull	5.395333	exp	39.836058450778	0.970976563577209	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_18	154	1	weibull	5.395333	exp	39.836058450778	0.970976563577209	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_19	154	0	weibull	5.395333	exp	58.6341100994111	0.907079006586848	1
iTPP3_ChemoLiver_TreatLiverBlood_replication_20	154	1	weibull	5.395333	exp	58.6341100994111	0.907079006586848	1
