rainfall,year,month,country
184.642,1991,1,AGO
127.503,1991,2,AGO
143.396,1991,3,AGO
83.4912,1991,4,AGO
15.6442,1991,5,AGO
0.40699,1991,6,AGO
0.63237,1991,7,AGO
3.74634,1991,8,AGO
24.9352,1991,9,AGO
70.3843,1991,10,AGO
179.789,1991,11,AGO
183.416,1991,12,AGO
159.183,1992,1,AGO
128.672,1992,2,AGO
88.2652,1992,3,AGO
76.8235,1992,4,AGO
19.2324,1992,5,AGO
0.26917,1992,6,AGO
0.26298,1992,7,AGO
1.26027,1992,8,AGO
13.8122,1992,9,AGO
58.4598,1992,10,AGO
133.843,1992,11,AGO
133.313,1992,12,AGO
162.26,1993,1,AGO
171.09,1993,2,AGO
152.263,1993,3,AGO
104.077,1993,4,AGO
11.8593,1993,5,AGO
0.13475,1993,6,AGO
0.10895,1993,7,AGO
1.12722,1993,8,AGO
20.7101,1993,9,AGO
60.3061,1993,10,AGO
135.462,1993,11,AGO
133.257,1993,12,AGO
157.371,1994,1,AGO
130.385,1994,2,AGO
109.589,1994,3,AGO
73.1467,1994,4,AGO
13.6443,1994,5,AGO
0.14144,1994,6,AGO
0.31993,1994,7,AGO
1.80629,1994,8,AGO
11.4906,1994,9,AGO
86.8802,1994,10,AGO
138.875,1994,11,AGO
138.321,1994,12,AGO
96.6659,1995,1,AGO
131.105,1995,2,AGO
136.342,1995,3,AGO
78.7643,1995,4,AGO
15.984,1995,5,AGO
0.13654,1995,6,AGO
0.04776,1995,7,AGO
3.2509,1995,8,AGO
18.1425,1995,9,AGO
83.9862,1995,10,AGO
124.775,1995,11,AGO
132.417,1995,12,AGO
174.718,1996,1,AGO
129.692,1996,2,AGO
135.48,1996,3,AGO
86.6566,1996,4,AGO
13.2301,1996,5,AGO
0.38785,1996,6,AGO
0.49471,1996,7,AGO
2.34591,1996,8,AGO
18.9094,1996,9,AGO
60.189,1996,10,AGO
131.503,1996,11,AGO
133.333,1996,12,AGO
182.588,1997,1,AGO
163.369,1997,2,AGO
208.64,1997,3,AGO
73.7311,1997,4,AGO
15.3827,1997,5,AGO
0.46143,1997,6,AGO
0.22739,1997,7,AGO
4.86423,1997,8,AGO
23.8504,1997,9,AGO
97.1519,1997,10,AGO
110.918,1997,11,AGO
173.387,1997,12,AGO
161.609,1998,1,AGO
95.0974,1998,2,AGO
179.849,1998,3,AGO
86.0836,1998,4,AGO
12.3546,1998,5,AGO
0.23635,1998,6,AGO
0.1517,1998,7,AGO
2.54304,1998,8,AGO
27.6898,1998,9,AGO
62.7199,1998,10,AGO
135.536,1998,11,AGO
183.421,1998,12,AGO
154.14,1999,1,AGO
116.622,1999,2,AGO
173.42,1999,3,AGO
90.3252,1999,4,AGO
17.7619,1999,5,AGO
0.38303,1999,6,AGO
0.86865,1999,7,AGO
4.79482,1999,8,AGO
20.9942,1999,9,AGO
71.391,1999,10,AGO
145.772,1999,11,AGO
207.854,1999,12,AGO
159.352,2000,1,AGO
143.891,2000,2,AGO
185.317,2000,3,AGO
99.812,2000,4,AGO
23.8281,2000,5,AGO
0.50795,2000,6,AGO
0.05429,2000,7,AGO
2.80607,2000,8,AGO
20.144,2000,9,AGO
58.5601,2000,10,AGO
131.164,2000,11,AGO
167.238,2000,12,AGO
160.743,2001,1,AGO
162.299,2001,2,AGO
163.541,2001,3,AGO
112.062,2001,4,AGO
15.803,2001,5,AGO
0.63983,2001,6,AGO
0.10961,2001,7,AGO
1.30812,2001,8,AGO
13.2124,2001,9,AGO
61.3058,2001,10,AGO
141.206,2001,11,AGO
134.481,2001,12,AGO
167.282,2002,1,AGO
150.252,2002,2,AGO
148.605,2002,3,AGO
118.727,2002,4,AGO
17.3488,2002,5,AGO
0.5558,2002,6,AGO
0.40115,2002,7,AGO
6.68067,2002,8,AGO
29.9114,2002,9,AGO
100.984,2002,10,AGO
150.981,2002,11,AGO
169.263,2002,12,AGO
139.545,2003,1,AGO
139.627,2003,2,AGO
143.616,2003,3,AGO
99.2798,2003,4,AGO
10.3977,2003,5,AGO
0.79011,2003,6,AGO
0.27182,2003,7,AGO
2.30615,2003,8,AGO
13.1384,2003,9,AGO
85.0251,2003,10,AGO
133.898,2003,11,AGO
153.855,2003,12,AGO
179.174,2004,1,AGO
136.695,2004,2,AGO
208.135,2004,3,AGO
110.912,2004,4,AGO
5.61422,2004,5,AGO
0.21445,2004,6,AGO
0.29896,2004,7,AGO
4.25038,2004,8,AGO
19.9824,2004,9,AGO
70.7105,2004,10,AGO
140.177,2004,11,AGO
146.047,2004,12,AGO
138.075,2005,1,AGO
119.175,2005,2,AGO
153.461,2005,3,AGO
101.536,2005,4,AGO
10.2438,2005,5,AGO
0.20788,2005,6,AGO
0.56174,2005,7,AGO
2.84445,2005,8,AGO
16.5852,2005,9,AGO
60.6344,2005,10,AGO
138.509,2005,11,AGO
162.219,2005,12,AGO
167.874,2006,1,AGO
168.933,2006,2,AGO
185.512,2006,3,AGO
96.4281,2006,4,AGO
13.0367,2006,5,AGO
0.20742,2006,6,AGO
0.53239,2006,7,AGO
6.09097,2006,8,AGO
19.1337,2006,9,AGO
85.4951,2006,10,AGO
171.748,2006,11,AGO
161.926,2006,12,AGO
157.073,2007,1,AGO
128.413,2007,2,AGO
167.998,2007,3,AGO
98.0055,2007,4,AGO
15.3824,2007,5,AGO
1.50597,2007,6,AGO
0.14841,2007,7,AGO
4.65026,2007,8,AGO
17.7703,2007,9,AGO
77.6738,2007,10,AGO
143.813,2007,11,AGO
157.046,2007,12,AGO
160.289,2008,1,AGO
146.658,2008,2,AGO
181.128,2008,3,AGO
98.9103,2008,4,AGO
18.2539,2008,5,AGO
0.3754,2008,6,AGO
0.27696,2008,7,AGO
3.04396,2008,8,AGO
18.8751,2008,9,AGO
78.43,2008,10,AGO
135.302,2008,11,AGO
168.317,2008,12,AGO
159.539,2009,1,AGO
166.03,2009,2,AGO
177.481,2009,3,AGO
