drug;linetype;x;y
DHA-PPQ;mean;0.2;1.000
SP-AQ;mean;0.2;1.000
DHA-PPQ;cu;0.2;1.000
SP-AQ;cu;0.2;1.000
SP-AQ;cl;0.2;1.000
DHA-PPQ;cl;0.2;0.984
DHA-PPQ;cu;1.0;1.000
SP-AQ;cu;1.0;1.000
SP-AQ;mean;1.0;1.000
DHA-PPQ;mean;1.0;0.997
SP-AQ;cl;1.0;0.989
DHA-PPQ;cl;1.0;0.961
SP-AQ;cu;2.0;1.000
SP-AQ;mean;2.0;0.994
DHA-PPQ;cu;2.0;0.994
DHA-PPQ;mean;2.0;0.973
SP-AQ;cl;2.0;0.959
DHA-PPQ;cl;2.0;0.924
SP-AQ;cu;3.0;0.979
SP-AQ;mean;3.0;0.956
DHA-PPQ;cu;3.0;0.944
DHA-PPQ;mean;3.0;0.913
SP-AQ;cl;3.0;0.912
DHA-PPQ;cl;3.0;0.860
SP-AQ;cu;4.0;0.920
DHA-PPQ;cu;4.0;0.882
SP-AQ;mean;4.0;0.879
DHA-PPQ;mean;4.0;0.827
SP-AQ;cl;4.0;0.813
DHA-PPQ;cl;4.0;0.750
SP-AQ;cu;5.0;0.852
DHA-PPQ;cu;5.0;0.813
SP-AQ;mean;5.0;0.782
DHA-PPQ;mean;5.0;0.738
SP-AQ;cl;5.0;0.678
DHA-PPQ;cl;5.0;0.629
SP-AQ;cu;6.0;0.770
DHA-PPQ;cu;6.0;0.722
SP-AQ;mean;6.0;0.685
DHA-PPQ;mean;6.0;0.631
SP-AQ;cl;6.0;0.566
DHA-PPQ;cl;6.0;0.508
SP-AQ;cu;7.0;0.688
DHA-PPQ;cu;7.0;0.625
SP-AQ;mean;7.0;0.569
DHA-PPQ;mean;7.0;0.469
SP-AQ;cl;7.0;0.405
DHA-PPQ;cl;7.0;0.250
SP-AQ;cu;8.0;0.591
DHA-PPQ;cu;8.0;0.511
SP-AQ;mean;8.0;0.372
DHA-PPQ;mean;8.0;0.255
DHA-PPQ;cl;8.0;0.000
SP-AQ;cl;8.0;0.039
SP-AQ;cu;9.0;0.397
DHA-PPQ;cu;9.0;0.314
SP-AQ;mean;9.0;0.091
DHA-PPQ;mean;9.0;0.011
SP-AQ;cl;9.0;0.000
DHA-PPQ;cl;9.0;0.000
DHA-PPQ;cu;10.0;0.160
SP-AQ;cu;10.0;0.133
DHA-PPQ;mean;10.0;0.000
SP-AQ;mean;10.0;0.000
DHA-PPQ;cl;10.0;0.000
SP-AQ;cl;10.0;0.000
DHA-PPQ;cu;11.0;0.147
SP-AQ;cu;11.0;0.066
DHA-PPQ;mean;11.0;0.000
SP-AQ;mean;11.0;0.000
DHA-PPQ;cl;11.0;0.000
SP-AQ;cl;11.0;0.000
