"","Key performance property","Outcome","Range of attributable outcome variation"
"1","Combined coverage","CLINICAL INCIDENCE","43% to 72%"
"2","Combined coverage","PREVALENCE","32% to 80%"
"3","Combined coverage","SEVERE DISEASE","47% to 82%"
"4","Combined coverage","MORTALITY","28% to 80%"
"5","Elimination half-life [1 - 20 days]","CLINICAL INCIDENCE","28% to 54%"
"6","Elimination half-life [1 - 20 days]","PREVALENCE","6% to 53%"
"7","Elimination half-life [1 - 20 days]","SEVERE DISEASE","17% to 49%"
"8","Elimination half-life [1 - 20 days]","MORTALITY","16% to 64%"
"9","Emax [2 - 30 units]","CLINICAL INCIDENCE","0% to 12%"
"10","Emax [2 - 30 units]","PREVALENCE","1% to 34%"
"11","Emax [2 - 30 units]","SEVERE DISEASE","0% to 6%"
"12","Emax [2 - 30 units]","MORTALITY","0% to 11%"
"13","Program reach [70 - 95%]","CLINICAL INCIDENCE","31% to 54%"
"14","Program reach [70 - 95%]","PREVALENCE","26% to 77%"
"15","Program reach [70 - 95%]","SEVERE DISEASE","31% to 63%"
"16","Program reach [70 - 95%]","MORTALITY","20% to 74%"
"17","Round coverage [70 - 95%]","CLINICAL INCIDENCE","9% to 18%"
"18","Round coverage [70 - 95%]","PREVALENCE","1% to 10%"
"19","Round coverage [70 - 95%]","SEVERE DISEASE","10% to 25%"
"20","Round coverage [70 - 95%]","MORTALITY","6% to 36%"
"21","Slope [6 - 6]","CLINICAL INCIDENCE","0% to 1%"
"22","Slope [6 - 6]","PREVALENCE","0% to 1%"
"23","Slope [6 - 6]","SEVERE DISEASE","0% to 1%"
"24","Slope [6 - 6]","MORTALITY","0% to 1%"
